abbrev,state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
AL,Alabama,N/A,1097,1331,374,2509,3108,46,119,79,18599,13864,608,575,883,1625,503,853,4137,2329,129,1261,636,2341,1299,5141,1333,31,245,761,0,779,787,1364,4329,83,3705,1030,373,1926,20,1665,0,12116,9993,126,16,2515,1507,477,323,260
AK,Alaska,1004,N/A,3717,855,6995,3457,439,692,1247,10704,2654,1417,1198,2250,479,951,333,304,403,38,1947,890,1152,523,0,2186,726,626,2161,437,359,320,4002,1458,70,2207,1279,2513,1658,0,1244,855,1281,6759,2819,93,1906,4328,306,236,590
AZ,Arizona,962,1520,N/A,1677,38916,10589,3167,188,902,6473,6657,1865,2424,7139,2763,1590,3094,1103,2021,230,760,1972,7168,3065,710,2297,1548,2406,8748,440,1328,6391,4146,3493,1571,4929,2974,7954,3529,93,2222,435,2250,18908,7966,127,2420,8362,79,3257,2014
AR,Arkansas,660,196,1214,N/A,3472,1043,200,0,35,3321,1041,24,291,1587,564,451,2158,518,3645,0,136,394,906,375,2680,9434,63,363,353,0,57,410,247,861,0,884,5777,165,573,0,839,227,3306,13781,361,0,445,1413,0,253,244
CA,California,3077,3494,44889,3525,N/A,22152,3161,2221,4999,20386,14174,9756,10280,14940,6033,3268,5411,3415,5139,1610,8614,12770,8085,8086,4371,10717,5428,3438,49978,1514,4330,4536,24623,13883,999,8995,8950,31862,7772,2146,5979,1494,8396,62702,15286,1112,14780,45597,1231,5347,2035
CO,Colorado,1386,556,13790,603,15150,N/A,367,0,677,8766,4710,1216,1186,3036,1225,3252,3746,712,1433,314,1071,980,2363,3565,799,3798,2135,2023,6402,572,380,4780,3596,4790,546,3180,4717,4472,2574,332,1915,1744,2473,16616,5350,382,5352,5195,104,1600,5599
CT,Connecticut,284,0,417,185,6764,1317,N/A,1489,618,8975,1829,191,44,955,823,112,210,246,164,1468,881,10525,798,696,106,410,0,0,143,1345,3466,280,14595,4914,65,1355,0,381,3311,4170,1590,2,936,2769,142,1626,2725,2901,143,657,0
DE,Delaware,42,0,246,0,474,70,22,N/A,78,1099,226,278,120,234,639,0,0,706,0,234,4100,506,114,0,0,234,0,0,373,0,1921,100,477,2180,0,1079,380,0,4814,0,697,0,176,181,0,0,2279,100,674,296,0
DC,District of Columbia ,162,356,36,205,3199,488,288,11,N/A,780,1352,230,116,1066,1045,151,456,254,596,32,21213,379,274,310,97,144,0,0,468,101,840,25,3936,1801,70,985,151,696,2921,313,435,0,180,1189,0,116,10964,773,294,15,0
FL,Florida,11244,1991,5553,2682,21004,8615,6578,715,1705,N/A,42870,2780,2014,12687,11472,4335,3118,9232,6534,2926,9610,12890,13146,2372,4676,8374,1875,1368,3381,2746,10649,4707,27392,26365,950,16366,5011,1660,14631,2752,11552,970,15641,31259,2428,966,19574,9370,1919,4937,733
GA,Georgia,19920,928,2263,1525,10790,5834,1702,179,1079,42754,N/A,1448,583,8745,2258,596,1896,4173,4478,511,4610,2789,4270,2235,2669,3451,292,786,745,470,3002,192,7592,16823,98,8052,2581,1032,4337,168,18570,122,16012,20362,1142,56,9535,6363,1108,970,166
HI,Hawaii,627,1376,2491,0,11906,2536,408,0,38,3177,1409,N/A,206,869,856,521,149,647,378,0,610,1108,291,1277,184,2114,556,165,2053,43,22,168,1598,1566,160,1198,189,2501,245,120,638,8,1058,5040,1436,6,3823,5239,166,333,0
ID,Idaho,493,538,2934,0,5331,2660,97,32,46,1268,936,404,N/A,1384,186,290,456,50,265,143,429,188,242,575,586,596,3385,315,1503,20,113,355,607,334,540,412,905,5093,359,0,198,78,787,2387,5129,0,652,10604,181,360,745
IL,Illinois,2722,58,10744,3576,21251,6374,912,567,795,22565,7143,318,532,N/A,28436,11969,1702,4445,1229,195,3621,2886,10047,5896,2703,22001,542,1193,2822,673,2052,790,8017,6378,799,9510,1100,1676,3749,385,2125,74,7094,19672,1588,230,7089,4298,220,22285,905
IN,Indiana,1347,260,2930,1172,5891,4336,53,62,469,13803,5972,292,283,16907,N/A,1716,1679,12203,1359,0,1210,677,10976,2026,1200,4184,163,290,362,297,1039,660,3040,4532,55,13534,1490,1380,1599,0,3802,210,5591,8264,475,68,2663,1089,328,2480,179
IA,Iowa,345,13,2702,409,2284,2776,0,30,133,3864,1687,84,90,8529,1678,N/A,1527,238,544,7,569,151,993,7220,160,5956,415,6815,714,53,357,384,955,775,458,1039,1088,834,125,0,643,2441,617,4934,2791,30,221,1159,68,4161,259
KS,Kansas,865,221,2498,1033,2790,5283,0,113,164,5661,1497,1135,63,2009,1624,918,N/A,602,420,277,1726,565,805,924,400,20218,224,3103,1202,102,426,672,1437,1595,161,1166,7065,556,967,27,1064,403,2630,12699,398,0,1144,2544,39,1160,539
KY,Kentucky,2495,161,1328,1310,3763,2500,124,0,112,6912,6172,485,83,2923,11177,819,617,N/A,1649,482,715,52,3409,57,446,2291,367,131,952,284,631,159,1753,1531,22,13227,1354,202,1233,286,1924,0,13202,6040,217,1243,3908,1368,2249,635,4
LA,Louisiana,3104,120,724,3953,5180,5048,909,178,283,5550,4100,207,54,1229,736,763,438,666,N/A,15,606,1556,1284,791,8588,1178,0,411,421,7,339,790,1083,919,18,2214,2562,227,694,24,2709,0,2452,29348,345,73,1638,1646,90,598,88
ME,Maine,67,66,616,17,1256,20,1224,0,194,7348,222,91,0,526,0,78,211,46,251,N/A,332,3907,261,187,163,996,225,68,209,6118,430,57,1345,1259,98,1189,167,446,988,279,2077,0,1040,1293,380,883,1144,532,35,233,0
MD,Maryland,1513,508,3007,169,7902,2844,1752,5649,14120,10442,3619,2491,107,1865,1050,419,282,1120,642,325,N/A,2381,2201,1841,379,1246,33,129,934,33,3474,505,7321,9005,232,5026,750,457,17529,482,3565,60,1743,4969,613,862,23925,1191,5352,1306,294
MA,Massachusetts,334,297,1961,254,14356,5939,8743,157,1524,15159,4153,1266,338,3296,837,585,187,419,549,3887,3977,N/A,1720,814,67,810,97,195,318,18990,4907,303,15073,3710,187,2189,1233,760,5900,11253,2313,61,1525,4813,1503,3318,3767,2911,164,489,548
MI,Michigan,2298,563,9598,1283,8921,3343,753,227,944,23400,9949,321,683,12583,11017,946,1125,7302,1080,116,2167,1337,N/A,2212,1768,2964,822,258,1235,426,324,602,5191,6161,757,16336,1347,570,2642,230,2966,892,4507,9501,1670,284,2982,3470,778,3917,965
MN,Minnesota,752,192,8570,295,8539,2992,605,351,393,5460,2237,192,637,6537,1543,7505,682,605,330,430,1422,966,1127,N/A,568,2798,481,1489,1157,0,570,284,1059,1523,15257,1122,906,1792,1169,131,757,3568,1178,2803,385,315,2294,2703,20,18965,290
MS,Mississippi,4952,56,293,3689,2556,835,276,58,44,5490,3280,44,87,2744,1948,751,452,646,6791,79,581,155,922,202,N/A,1110,32,176,783,0,106,451,773,2377,72,1017,1850,186,55,0,1407,34,10568,6402,284,0,1344,615,0,238,136
MO,Missouri,1555,819,2595,9105,6729,3771,358,80,337,10666,3377,944,214,13264,4526,4168,21022,2381,1591,69,256,453,2206,1709,2634,N/A,447,2223,694,289,384,1216,3310,2623,1490,3026,5210,403,1171,210,1884,474,2694,12319,1553,23,1914,2802,59,1263,244
MT,Montana,101,371,1118,258,3060,2021,50,0,0,1758,251,131,3800,228,134,452,300,0,428,0,0,49,218,1257,166,511,N/A,108,1086,0,67,139,421,244,1776,276,798,2192,135,0,93,248,308,1813,1057,147,658,2919,0,784,1901
NE,Nebraska,151,1195,2293,166,3302,4472,45,91,172,945,1283,75,35,1302,591,7698,4126,723,745,82,132,182,113,992,138,1999,108,N/A,714,110,35,194,78,628,950,1052,300,570,214,188,158,2175,432,4794,489,0,357,682,0,324,1216
NV,Nevada,1009,803,6712,121,27968,3789,172,572,42,1241,3783,760,2535,1478,1011,681,851,301,931,35,330,787,1354,932,526,836,968,233,N/A,0,908,604,600,1627,854,907,1101,5935,1600,25,1025,135,735,8266,5391,17,973,5671,229,1163,355
NH,New Hampshire,161,118,510,0,1327,679,1009,99,197,2362,15,85,0,283,0,56,0,84,11,3655,1124,13331,446,0,60,35,115,0,175,N/A,126,268,2760,754,0,189,549,39,1138,611,917,0,271,761,507,2893,535,309,129,3,0
NJ,New Jersey,1702,116,2564,157,12057,2464,5665,5846,1451,27606,4920,410,214,2366,1537,1018,267,496,975,405,6260,8046,1617,1038,2127,960,156,524,912,591,N/A,252,42574,11468,140,4703,1523,385,33791,1219,6517,0,783,6797,437,833,9073,2300,1213,606,121
NM,New Mexico,459,263,6946,547,5921,6520,444,85,116,2853,915,284,675,1359,219,114,1029,554,150,272,638,521,1318,322,86,451,259,158,1138,223,45,N/A,646,1138,161,1361,1244,920,1001,36,1052,175,751,16762,686,74,947,872,81,526,604
NY,New York,2709,736,7402,2262,31261,7250,23310,3566,3085,53009,13957,2382,938,7561,2316,1230,571,5239,2786,2519,11736,19467,5731,1849,1492,2834,482,318,3521,2905,40495,1111,N/A,19891,331,8732,1981,2379,32898,3603,10746,371,6279,20274,2129,4780,15893,5562,1721,2033,231
NC,North Carolina,5133,920,2721,3057,11195,4378,3379,1349,985,23133,16009,2241,817,3761,2665,734,813,3643,2284,1112,7507,2514,3912,1745,1709,3988,1082,874,767,1609,3236,335,10544,N/A,231,5498,1961,1482,6380,478,24764,240,5904,22660,842,328,25575,4088,4683,2939,459
