abbrev,state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total_imm,total_emm
AL,Alabama,N/A,1004,962,660,3077,1386,284,42,162,11244,19920,627,493,2722,1347,345,865,2495,3104,67,1513,334,2298,752,4952,1555,101,151,1009,161,1702,459,2709,5133,228,1411,194,200,1837,0,2811,518,10539,7468,579,0,3170,1034,128,760,88,104600,109210
AK,Alaska,1097,N/A,1520,196,3494,556,0,0,356,1991,928,1376,538,58,260,13,221,161,120,66,508,297,563,192,56,819,371,1195,803,118,116,263,736,920,264,1316,335,3174,255,0,384,99,451,1488,330,79,1265,3725,0,206,136,33415,84068
AZ,Arizona,1331,3717,N/A,1214,44889,13790,417,246,36,5553,2263,2491,2934,10744,2930,2702,2498,1328,724,616,3007,1961,9598,8570,293,2595,1118,2293,6712,510,2564,6946,7402,2721,877,7906,1626,8587,4280,614,1070,1472,5075,14788,5916,207,2763,13247,765,3765,2786,232457,206842
AR,Arkansas,374,855,1677,N/A,3525,603,185,0,205,2682,1525,0,0,3576,1172,409,1033,1310,3953,17,169,254,1283,295,3689,9105,258,166,121,0,157,547,2262,3057,0,1135,9938,193,516,59,52,673,4195,11767,269,0,1159,251,84,695,1498,76948,64967
CA,California,2509,6995,38916,3472,N/A,15150,6764,474,3199,21004,10790,11906,5331,21251,5891,2284,2790,3763,5180,1256,7902,14356,8921,8539,2556,6729,3060,3302,27968,1327,12057,5921,31261,11195,1827,10653,6671,22724,10466,1648,4110,826,5802,43005,12172,544,15625,34569,1413,5681,1886,493641,566986
CO,Colorado,3108,3457,10589,1043,22152,N/A,1317,70,488,8615,5834,2536,2660,6374,4336,2776,5283,2500,5048,20,2844,5939,3343,2992,835,3771,2021,4472,3789,679,2464,6520,7250,4378,1918,4533,4582,2419,3950,137,2383,756,2535,17355,6398,503,3796,4853,837,3000,5602,205060,161530
CT,Connecticut,46,439,3167,200,3161,367,N/A,22,288,6578,1702,408,97,912,53,0,0,124,909,1224,1752,8743,753,605,276,358,50,45,172,1009,5665,444,23310,3379,0,287,415,35,2214,1558,940,0,260,3279,45,709,1729,1593,174,711,104,80311,87023
DE,Delaware,119,692,188,0,2221,0,1489,N/A,11,715,179,0,32,567,62,30,113,0,178,0,5649,157,227,351,58,80,0,91,572,99,5846,85,3566,1349,0,191,0,0,6828,135,298,0,344,133,166,0,1746,29,161,0,0,34757,25149
DC,DC,79,1247,902,35,4999,677,618,78,N/A,1705,1079,38,46,795,469,133,164,112,283,194,14120,1524,944,393,44,337,0,172,42,197,1451,116,3085,985,0,651,0,157,1494,635,150,0,577,1473,116,267,9537,481,293,721,215,53830,59513
FL,Florida,18599,10704,6473,3321,20386,8766,8975,1099,780,N/A,42754,3177,1268,22565,13803,3864,5661,6912,5550,7348,10442,15159,23400,5460,5490,10666,1758,945,1241,2362,27606,2853,53009,23133,239,22927,3142,2919,25659,3050,11366,1070,16275,28564,2499,2747,25697,4943,3533,6216,773,537148,428325
GA,Georgia,13864,2654,6657,1041,14174,4710,1829,226,1352,42870,N/A,1409,936,7143,5972,1687,1497,6172,4100,222,3619,4153,9949,2237,3280,3377,251,1283,3783,15,4920,915,13957,16009,207,7501,3299,453,9076,440,18611,257,17606,16198,20,84,10702,1965,1237,3441,106,277466,252262
HI,Hawaii,608,1417,1865,24,9756,1216,191,278,230,2780,1448,N/A,404,318,292,84,1135,485,207,91,2491,1266,321,192,44,944,131,75,760,85,410,284,2382,2241,0,884,1095,1763,1087,106,644,459,1314,3300,2183,0,1393,5920,197,295,50,55145,61509
ID,Idaho,575,1198,2424,291,10280,1186,44,120,116,2014,583,206,N/A,532,283,90,63,83,54,0,107,338,683,637,87,214,3800,35,2535,0,214,675,938,817,0,1018,93,4963,169,0,205,118,1957,1352,6617,0,269,10398,0,225,677,59283,55191
IL,Illinois,883,2250,7139,1587,14940,3036,955,234,1066,12687,8745,869,1384,N/A,16907,8529,2009,2923,1229,526,1865,3296,12583,6537,2744,13264,228,1302,1478,283,2366,1359,7561,3761,196,6872,1491,954,4588,462,1583,394,4648,16780,1154,156,4311,2704,1221,14414,302,208755,277953
IN,Indiana,1625,479,2763,564,6033,1225,823,639,1045,11472,2258,856,186,28436,N/A,1678,1624,11177,736,0,1050,837,11017,1543,1948,4526,134,591,1011,0,1537,219,2316,2665,113,11235,1198,387,2419,0,1414,111,3547,4490,105,0,1932,258,507,1727,1681,134137,144597
IA,Iowa,503,951,1590,451,3268,3252,112,0,151,4335,596,521,290,11969,1716,N/A,918,819,763,78,419,585,946,7505,751,4168,452,7698,681,56,1018,114,1230,734,833,1127,1465,348,451,0,943,1158,1148,3553,886,0,268,919,22,3607,392,75760,73325
KS,Kansas,853,333,3094,2158,5411,3746,210,0,456,3118,1896,149,456,1702,1679,1527,N/A,617,438,211,282,187,1125,682,452,21022,300,4126,851,0,267,1029,571,813,261,1310,8408,848,918,18,556,154,1542,8468,97,70,1705,3265,139,486,278,88284,93134
KY,Kentucky,4137,304,1103,518,3415,712,246,706,254,9232,4173,647,50,4445,12203,238,602,N/A,666,46,1120,419,7302,605,646,2381,0,723,301,84,496,554,5239,3643,122,17041,577,298,2226,0,1347,0,10064,3345,464,45,3319,1988,3346,1395,0,112787,103004
LA,Louisiana,2329,403,2021,3645,5139,1433,164,0,596,6534,4478,378,265,1229,1359,544,420,1649,N/A,251,642,549,1080,330,6791,1591,428,745,931,11,975,150,2786,2284,64,1115,2159,195,1239,737,1914,0,2348,24488,277,45,1857,1581,238,682,146,91215,95956
ME,Maine,129,38,230,0,1610,314,1468,234,32,2926,511,0,143,195,0,7,277,482,15,N/A,325,3887,116,430,79,69,0,82,35,3655,405,272,2519,1112,0,628,79,215,976,1024,173,0,985,496,200,349,573,118,51,0,59,27523,38574
MD,Maryland,1261,1947,760,136,8614,1071,881,4100,21213,9610,4610,610,429,3621,1210,569,1726,715,606,332,N/A,3977,2167,1422,581,256,0,132,330,1124,6260,638,11736,7507,116,2522,463,378,15485,82,2297,0,1800,5612,1061,589,20579,1431,1957,460,0,154983,157664
MA,Massachusetts,636,890,1972,394,12770,980,10525,506,379,12890,2789,1108,188,2886,677,151,565,52,1556,3907,2381,N/A,1337,966,155,453,49,182,787,13331,8046,521,19467,2514,81,1829,297,1528,8236,6863,2477,194,823,3694,1027,2534,4098,1653,385,584,264,142577,158156
MI,Michigan,2341,1152,7168,906,8085,2363,798,114,274,13146,4270,291,242,10047,10976,993,805,3409,1284,261,2201,1720,N/A,1127,922,2206,218,113,1354,446,1617,1318,5731,3912,265,11318,705,811,2739,68,1822,66,3259,8638,819,60,3057,2146,353,4768,1277,133981,175733
MN,Minnesota,1299,523,3065,375,8086,3565,696,0,310,2372,2235,1277,575,5896,2026,7220,924,57,791,187,1841,814,2212,N/A,202,1709,1257,992,932,0,1038,322,1849,1745,6672,2635,1212,781,1106,299,1705,3442,1738,4001,429,77,1037,1685,0,17618,213,101042,115946
MS,Mississippi,5141,0,710,2680,4371,799,106,0,97,4676,2669,184,586,2703,1200,160,400,446,8588,163,379,67,1768,568,N/A,2634,166,138,526,60,2127,86,1492,1709,98,896,562,465,613,185,596,79,11643,7230,454,0,1929,433,0,611,307,73500,66947
MO,Missouri,1333,2186,2297,9434,10717,3798,410,234,144,8374,3451,2114,596,22001,4184,5956,20218,2291,1178,996,1246,810,2964,2798,1110,N/A,511,1999,836,35,960,451,2834,3988,636,3557,5298,1186,1535,361,2856,527,3122,9278,3287,318,2609,2312,148,2636,810,162930,142754
MT,Montana,31,726,1548,63,5428,2135,0,0,0,1875,292,556,3385,542,163,415,224,367,0,225,33,97,822,481,32,447,N/A,108,968,115,156,259,482,1082,977,402,1018,2950,457,0,230,191,45,1393,260,87,156,4783,0,750,934,37690,33832
NE,Nebraska,245,626,2406,363,3438,2023,0,0,0,1368,786,165,315,1193,290,6815,3103,131,411,68,129,195,258,1489,176,2223,108,N/A,233,0,524,158,318,874,497,563,587,106,702,0,456,2507,232,3130,229,79,1076,1327,111,316,917,43266,48816
NV,Nevada,761,2161,8748,353,49978,6402,143,373,468,3381,745,2053,1503,2822,362,714,1202,952,421,209,934,318,1235,1157,783,694,1086,714,N/A,175,912,1138,3521,767,702,1407,1520,3101,1601,336,480,0,1699,5484,4605,121,1135,2997,100,1046,766,124285,98882
NH,New Hampshire,0,437,440,0,1514,572,1345,0,101,2746,470,43,20,673,297,53,102,284,7,6118,33,18990,426,0,0,289,0,110,0,N/A,591,223,2905,1609,0,324,186,208,890,1248,323,0,77,2150,557,2960,660,113,80,239,71,50484,38696
NJ,New Jersey,779,359,1328,57,4330,380,3466,1921,840,10649,3002,22,113,2052,1039,357,426,631,339,430,3474,4907,324,570,106,384,67,35,908,126,N/A,45,40495,3236,55,1452,1540,760,23597,429,2372,581,1400,2509,425,35,5024,1847,297,680,23,130223,219202
NM,New Mexico,787,320,6391,410,4536,4780,280,100,25,4707,192,168,355,790,660,384,672,159,790,57,505,303,602,284,451,1216,139,194,604,268,252,N/A,1111,335,41,1178,1076,932,822,0,325,509,338,11955,1382,81,1560,1251,0,321,95,54693,63921
NY,New York,1364,4002,4146,247,24623,3596,14595,477,3936,27392,7592,1598,607,8017,3040,955,1437,1753,1083,1345,7321,15073,5191,1059,773,3310,421,78,600,2760,42574,646,N/A,10544,77,4625,1327,1055,22895,3222,5952,0,1279,11231,622,2764,7939,2614,921,979,396,270053,405864
